Name,Code,label
삼성전자,005930,KOSPI
SK하이닉스,000660,KOSPI
LG에너지솔루션,373220,KOSPI
삼성바이오로직스,207940,KOSPI
한화에어로스페이스,012450,KOSPI
현대차,005380,KOSPI
삼성전자우,005935,KOSPI
HD현대중공업,329180,KOSPI
KB금융,105560,KOSPI
기아,000270,KOSPI
셀트리온,068270,KOSPI
NAVER,035420,KOSPI
신한지주,055550,KOSPI
한화오션,042660,KOSPI
현대모비스,012330,KOSPI
메리츠금융지주,138040,KOSPI
POSCO홀딩스,005490,KOSPI
삼성물산,028260,KOSPI
HD한국조선해양,009540,KOSPI
하나금융지주,086790,KOSPI
고려아연,010130,KOSPI
크래프톤,259960,KOSPI
삼성화재,000810,KOSPI
두산에너빌리티,034020,KOSPI
한국전력,015760,KOSPI
삼성생명,032830,KOSPI
카카오,035720,KOSPI
HMM,011200,KOSPI
LG화학,051910,KOSPI
KT&G,033780,KOSPI
SK이노베이션,096770,KOSPI
현대로템,064350,KOSPI
우리금융지주,316140,KOSPI
KT,030200,KOSPI
삼성중공업,010140,KOSPI
SK스퀘어,402340,KOSPI
HD현대일렉트릭,267260,KOSPI
기업은행,024110,KOSPI
삼성SDI,006400,KOSPI
LG전자,066570,KOSPI
하이브,352820,KOSPI
SK텔레콤,017670,KOSPI
카카오뱅크,323410,KOSPI
LG,003550,KOSPI
삼성에스디에스,018260,KOSPI
SK,034730,KOSPI
포스코퓨처엠,003670,KOSPI
한국항공우주,047810,KOSPI
LIG넥스원,079550,KOSPI
삼성전기,009150,KOSPI
한화시스템,272210,KOSPI
유한양행,000100,KOSPI
포스코인터내셔널,047050,KOSPI
KODEX CD금리액티브(합성),459580,KOSPI
대한항공,003490,KOSPI
현대글로비스,086280,KOSPI
TIGER 미국S&P500,360750,KOSPI
HD현대마린솔루션,443060,KOSPI
삼양식품,003230,KOSPI
한미반도체,042700,KOSPI
아모레퍼시픽,090430,KOSPI
SK바이오팜,326030,KOSPI
HD현대미포,010620,KOSPI
미래에셋증권,006800,KOSPI
LS ELECTRIC,010120,KOSPI
코웨이,021240,KOSPI
DB손해보험,005830,KOSPI
HD현대,267250,KOSPI
KODEX 머니마켓액티브,488770,KOSPI
KODEX 200,069500,KOSPI
S-Oil,010950,KOSPI
한화솔루션,009830,KOSPI
LG유플러스,032640,KOSPI
한진칼,180640,KOSPI
맥쿼리인프라,088980,KOSPI
두산,000150,KOSPI
현대차2우B,005387,KOSPI
